"age","ageGroup","area","laborForce","employment","industry","barrier","empType","homeBased","informal","sequence","weight"
41,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.395683
16,"15-24","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.395683
60,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.395683
32,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.395683
18,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.395683
16,"15-24","Rural","Not in labor force",NA,NA,"Employers' lack of flexibility",NA,NA,NA,"Rural-Not in labor force-Employers' lack of flexibility",0.395683
17,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.395683
40,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.395683
23,"15-24","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Unpaid","home based","formal","Rural-Labor force-employed-Community, Social and Personal Services-Unpaid-home based-formal",0.395683
26,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.395683
26,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.395683
18,"15-24","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.395683
25,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.395683
57,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.395683
29,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.395683
33,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.395683
20,"15-24","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.395683
18,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
32,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
17,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.553667
24,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
35,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.553667
18,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.553667
23,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
24,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.553667
62,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
36,"25-64","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Rural-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.553667
52,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
33,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.553667
16,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.553667
28,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
35,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.553667
34,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.553667
55,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
38,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.553667
15,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.553667
35,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.879684
29,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.879684
33,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.879684
35,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.879684
26,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.879684
40,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.879684
26,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.879684
34,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.879684
17,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.879684
24,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.879684
26,"25-64","Rural","Not in labor force",NA,NA,"Transport",NA,NA,NA,"Rural-Not in labor force-Transport",0.879684
23,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.879684
55,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.879684
54,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.879684
50,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-home based",0.879684
38,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.879684
35,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.879684
42,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.879684
37,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.570263
34,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.570263
36,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.570263
62,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.570263
42,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.570263
55,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.570263
26,"25-64","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.570263
60,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.570263
50,"25-64","Urban","Labor force","employed","Others",NA,"Paid","home based","informal","Urban-Labor force-employed-Others-Paid-home based-informal",0.570263
17,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.570263
41,"25-64","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.570263
25,"25-64","Urban","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Urban-Not in labor force-Inadequate Promotion Opportunities",0.570263
18,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.570263
62,"25-64","Urban","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Urban-Not in labor force-Inadequate Promotion Opportunities",0.609229
15,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.609229
40,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.609229
29,"25-64","Urban","Labor force","employed","Others",NA,"Paid","not home based","informal","Urban-Labor force-employed-Others-Paid-not home based-informal",0.609229
29,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.609229
32,"25-64","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.609229
37,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.609229
42,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.609229
29,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Paid","home based","informal","Urban-Labor force-employed-Manufacturing-Paid-home based-informal",0.609229
28,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.609229
55,"25-64","Urban","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Urban-Not in labor force-Inadequate Promotion Opportunities",0.609229
22,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.609229
60,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.609229
31,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.609229
44,"25-64","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.609229
39,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.609229
18,"15-24","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.609229
35,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
17,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.536355
38,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
37,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Paid","home based","informal","Urban-Labor force-employed-Manufacturing-Paid-home based-informal",0.536355
54,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
57,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
51,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.536355
29,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.536355
27,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
48,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.536355
21,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.536355
22,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
22,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.536355
25,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
20,"15-24","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.536355
26,"25-64","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.536355
21,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.536355
28,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.536355
24,"15-24","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.32028
34,"25-64","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.32028
39,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.32028
22,"15-24","Urban","Not in labor force",NA,NA,"Employers' lack of flexibility",NA,NA,NA,"Urban-Not in labor force-Employers' lack of flexibility",0.32028
52,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.32028
19,"15-24","Urban","Not in labor force",NA,NA,"Other, please specify",NA,NA,NA,"Urban-Not in labor force-Other, please specify",0.32028
45,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Unpaid","home based","formal","Urban-Labor force-employed-Manufacturing-Unpaid-home based-formal",0.32028
42,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.32028
34,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.32028
52,"25-64","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.32028
30,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.32028
28,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.32028
15,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.32028
16,"15-24","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.32028
15,"15-24","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.32028
40,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.32028
53,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.32028
27,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.32028
36,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.32028
31,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.938496
43,"25-64","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.938496
38,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.938496
28,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Unpaid","home based","formal","Urban-Labor force-employed-Manufacturing-Unpaid-home based-formal",0.938496
23,"15-24","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.938496
15,"15-24","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.938496
17,"15-24","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.938496
31,"25-64","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.938496
27,"25-64","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.938496
60,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.938496
40,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
44,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
18,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
22,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
18,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.28873
32,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.28873
23,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
21,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
51,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
31,"25-64","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Paid","home based","formal","Rural-Labor force-employed-Community, Social and Personal Services-Paid-home based-formal",0.28873
47,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.28873
53,"25-64","Rural","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Rural-Not in labor force-Lack of appropriate job opportunities",0.28873
38,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
26,"25-64","Rural","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Rural-Not in labor force-Inadequate Promotion Opportunities",0.28873
22,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.28873
41,"25-64","Rural","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Rural-Not in labor force-Inadequate Promotion Opportunities",1.056534
33,"25-64","Rural","Labor force","employed","Manufacturing",NA,"Paid","home based","informal","Rural-Labor force-employed-Manufacturing-Paid-home based-informal",1.056534
16,"15-24","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",1.056534
26,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.056534
31,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.056534
17,"15-24","Rural","Not in labor force",NA,NA,"Lack of accommodation",NA,NA,NA,"Rural-Not in labor force-Lack of accommodation",1.056534
24,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.056534
32,"25-64","Rural","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Rural-Not in labor force-Lack of appropriate job opportunities",1.056534
27,"25-64","Rural","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Rural-Not in labor force-Lack of appropriate job opportunities",1.056534
62,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.056534
34,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.056534
25,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.056534
38,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.056534
47,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.056534
33,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.056534
53,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.056534
36,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.056534
17,"15-24","Rural","Labor force","employed","Agriculture",NA,"Unpaid","not home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-not home based",1.056534
35,"25-64","Rural","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Rural-Not in labor force-Lack of appropriate job opportunities",1.056534
41,"25-64","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Paid","home based","informal","Rural-Labor force-employed-Community, Social and Personal Services-Paid-home based-informal",0.628376
64,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.628376
46,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.628376
41,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.628376
61,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.628376
51,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.628376
30,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.628376
56,"25-64","Rural","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Rural-Not in labor force-Inadequate Promotion Opportunities",0.628376
33,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.628376
63,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.628376
25,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.628376
38,"25-64","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Rural-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.628376
32,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.628376
45,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",0.628376
25,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.628376
42,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.638759
18,"15-24","Rural","Not in labor force",NA,NA,"Transport",NA,NA,NA,"Rural-Not in labor force-Transport",0.638759
53,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.638759
21,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.638759
36,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",0.638759
48,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.638759
